iter	Passed	Remaining
0	46	46877
1	47	23669
2	47	15875
3	48	11972
4	48	9663
5	48	8094
6	49	6976
7	49	6133
8	49	5479
9	50	4960
10	50	4577
11	51	4234
12	51	3935
13	53	3732
14	54	3566
15	54	3365
16	55	3187
17	55	3029
18	55	2888
19	56	2760
20	56	2645
21	57	2540
22	57	2444
23	57	2356
24	58	2275
25	58	2200
26	60	2164
27	76	2651
28	78	2611
29	84	2746
30	85	2665
31	85	2593
32	86	2524
33	86	2456
34	86	2391
35	87	2331
36	87	2282
37	98	2487
38	98	2428
39	98	2373
40	99	2323
41	99	2274
42	100	2228
43	100	2187
44	101	2144
45	101	2103
46	101	2062
47	102	2023
48	102	1986
49	102	1950
50	113	2110
51	116	2122
52	116	2086
53	117	2054
54	118	2029
55	118	1997
56	118	1965
57	127	2066
58	127	2034
59	127	2003
60	128	1978
61	128	1949
62	129	1921
63	129	1894
64	130	1870
65	130	1844
66	130	1820
67	131	1798
68	143	1935
69	143	1911
70	144	1886
71	144	1863
72	144	1840
73	145	1818
74	145	1796
75	146	1775
76	146	1754
77	146	1733
78	147	1715
79	147	1695
80	147	1676
81	162	1816
82	162	1794
83	162	1776
84	163	1756
85	163	1739
86	163	1720
87	164	1703
88	164	1688
89	165	1672
90	165	1657
91	166	1642
92	166	1625
93	167	1612
94	167	1597
95	167	1581
96	168	1566
97	168	1551
98	168	1537
99	169	1523
100	169	1508
101	169	1495
102	176	1534
103	176	1521
104	176	1508
105	177	1496
106	177	1483
107	178	1472
108	178	1460
109	179	1448
110	193	1546
111	193	1533
112	193	1521
113	194	1509
114	194	1496
115	194	1484
116	195	1472
117	195	1459
118	195	1448
119	195	1436
120	196	1425
121	196	1413
122	196	1402
123	197	1392
124	197	1381
125	197	1371
126	197	1360
127	198	1350
128	198	1340
129	198	1330
130	199	1320
131	199	1310
132	199	1301
133	199	1291
134	200	1282
135	200	1273
136	200	1264
137	200	1255
138	201	1246
139	201	1237
140	201	1229
141	201	1220
142	202	1211
143	202	1203
144	202	1195
145	202	1187
146	203	1179
147	203	1171
148	203	1163
149	204	1156
150	204	1148
151	204	1141
152	204	1134
153	205	1126
154	205	1119
155	205	1112
156	205	1105
157	206	1098
158	206	1092
159	206	1085
160	206	1078
161	207	1071
162	207	1065
163	207	1058
164	207	1052
165	208	1046
166	208	1040
167	208	1034
168	209	1028
169	209	1022
170	209	1016
171	209	1010
172	210	1005
173	210	999
174	210	993
175	211	988
176	211	982
177	211	977
178	211	972
179	212	966
180	212	961
181	212	956
182	213	951
183	213	946
184	213	940
185	213	935
186	214	930
187	214	926
188	214	921
189	214	916
190	215	911
191	215	907
192	215	902
193	216	897
194	216	893
195	216	888
196	216	884
197	217	879
198	217	875
199	217	871
200	218	866
201	218	862
202	218	858
203	218	854
204	219	849
205	219	845
206	219	841
207	219	837
208	220	833
209	220	829
210	220	825
211	221	821
212	221	817
213	221	813
214	221	810
215	222	806
216	222	802
217	222	798
218	222	795
219	223	791
220	223	787
221	223	784
222	224	780
223	224	777
224	224	773
225	224	770
226	225	766
227	225	763
228	225	759
229	225	756
230	226	753
231	226	749
232	226	746
233	227	743
234	227	739
235	227	736
236	227	733
237	228	730
238	228	727
239	228	724
240	228	720
241	229	717
242	229	714
243	229	712
244	230	709
245	230	706
246	230	703
247	231	700
248	231	697
249	231	694
250	231	691
251	232	689
252	232	686
253	232	683
254	232	680
255	233	677
256	233	675
257	233	672
258	234	669
259	234	667
260	234	664
261	234	661
262	235	659
263	235	656
264	235	653
265	235	651
266	236	648
267	236	645
268	236	643
269	237	640
270	237	638
271	237	635
272	237	633
273	238	631
274	238	628
275	238	626
276	238	623
277	239	621
278	239	619
279	239	617
280	240	614
281	240	612
282	240	610
283	241	607
284	241	605
285	241	603
286	241	601
287	242	598
288	242	596
289	242	594
290	243	592
291	243	589
292	243	587
293	243	585
294	244	583
295	244	581
296	244	579
297	244	577
298	245	575
299	245	572
300	245	570
301	246	568
302	246	566
303	246	564
304	246	562
305	247	560
306	247	558
307	247	556
308	247	554
309	248	552
310	248	550
311	248	548
312	249	546
313	249	544
314	249	542
315	249	541
316	250	539
317	250	537
318	250	535
319	251	533
320	251	531
321	251	529
322	251	527
323	252	526
324	252	524
325	252	522
326	252	520
327	253	518
328	253	517
329	253	515
330	254	513
331	254	511
332	254	509
333	254	508
334	255	506
335	255	504
336	255	503
337	255	501
338	256	499
339	256	498
340	256	496
341	257	494
342	257	492
343	257	491
344	257	489
345	258	488
346	258	486
347	258	484
348	259	483
349	259	481
350	259	479
351	259	478
352	260	476
353	260	475
354	260	473
355	260	471
356	261	470
357	261	468
358	261	467
359	261	465
360	262	464
361	262	462
362	262	461
363	263	459
364	263	458
365	263	456
366	263	455
367	264	453
368	264	452
369	264	450
370	265	449
371	265	447
372	265	446
373	265	444
374	266	443
375	266	442
376	266	440
377	266	439
378	267	437
379	267	436
380	267	434
381	267	433
382	268	432
383	268	430
384	268	429
385	269	427
386	269	426
387	269	425
388	269	423
389	270	422
390	270	421
391	270	419
392	270	418
393	271	417
394	271	415
395	271	414
396	272	413
397	272	412
398	272	410
399	273	409
400	273	408
401	273	407
402	273	405
403	274	404
404	274	403
405	274	402
406	275	400
407	275	399
408	275	398
409	275	396
410	276	395
411	276	394
412	276	393
413	276	391
414	277	390
415	277	389
416	277	388
417	277	387
418	278	385
419	278	384
420	278	383
421	279	382
422	279	380
423	279	379
424	279	378
425	280	377
426	280	376
427	280	375
428	280	373
429	281	372
430	281	371
431	281	370
432	281	369
433	282	368
434	282	366
435	282	365
436	282	364
437	283	363
438	283	362
439	283	361
440	284	360
441	284	358
442	284	357
443	284	356
444	285	355
445	285	354
446	285	353
447	286	352
448	286	351
449	286	350
450	286	349
451	287	348
452	287	347
453	287	345
454	287	344
455	288	343
456	288	342
457	288	341
458	289	340
459	289	339
460	289	338
461	289	337
462	290	336
463	290	335
464	290	334
465	291	333
466	291	332
467	291	331
468	291	330
469	292	329
470	292	328
471	292	327
472	292	326
473	293	325
474	293	324
475	293	323
476	293	322
477	294	321
478	294	320
479	294	319
480	295	318
481	295	317
482	295	316
483	295	315
484	296	314
485	296	313
486	296	312
487	297	311
488	297	310
489	297	309
490	297	308
491	298	307
492	298	306
493	298	305
494	298	305
495	299	304
496	299	303
497	299	302
498	300	301
499	300	300
500	300	299
501	300	298
502	301	297
503	301	296
504	301	295
505	301	294
506	302	293
507	302	292
508	302	292
509	303	291
510	303	290
511	303	289
512	303	288
513	304	287
514	304	286
515	304	285
516	305	284
517	305	284
518	305	283
519	305	282
520	306	281
521	306	280
522	306	279
523	306	278
524	307	277
525	307	277
526	307	276
527	307	275
528	308	274
529	308	273
530	308	272
531	309	271
532	309	270
533	309	270
534	309	269
535	310	268
536	310	267
537	310	266
538	310	265
539	311	264
540	311	264
541	311	263
542	311	262
543	312	261
544	312	260
545	312	260
546	312	259
547	313	258
548	313	257
549	313	256
550	314	255
551	314	255
552	314	254
553	314	253
554	315	252
555	315	251
556	315	251
557	315	250
558	316	249
559	316	248
560	316	247
561	316	247
562	317	246
563	317	245
564	318	244
565	318	244
566	318	243
567	318	242
568	319	241
569	319	241
570	319	240
571	320	239
572	320	238
573	320	237
574	320	237
575	321	236
576	321	235
577	321	234
578	321	234
579	322	233
580	322	232
581	322	231
582	323	231
583	323	230
584	323	229
585	323	228
586	324	228
587	324	227
588	324	226
589	324	225
590	325	224
591	325	224
592	325	223
593	325	222
594	326	221
595	326	221
596	326	220
597	326	219
598	327	219
599	327	218
600	327	217
601	328	216
602	328	216
603	328	215
604	328	214
605	329	213
606	329	213
607	329	212
608	329	211
609	330	211
610	330	210
611	330	209
612	330	208
613	331	208
614	331	207
615	331	206
616	332	206
617	332	205
618	332	204
619	332	204
620	333	203
621	333	202
622	333	201
623	333	201
624	334	200
625	334	199
626	334	199
627	335	198
628	335	197
629	335	197
630	335	196
631	336	195
632	336	194
633	336	194
634	336	193
635	337	192
636	337	192
637	337	191
638	337	190
639	338	190
640	338	189
641	338	188
642	339	188
643	339	187
644	339	186
645	339	186
646	340	185
647	340	184
648	340	184
649	340	183
650	341	182
651	341	182
652	341	181
653	341	180
654	342	180
655	342	179
656	342	178
657	343	178
658	343	177
659	343	176
660	343	176
661	344	175
662	344	175
663	344	174
664	344	173
665	345	173
666	345	172
667	345	171
668	345	171
669	346	170
670	346	169
671	346	169
672	346	168
673	347	167
674	347	167
675	347	166
676	348	166
677	348	165
678	348	164
679	348	164
680	349	163
681	349	162
682	349	162
683	349	161
684	350	161
685	350	160
686	350	159
687	351	159
688	351	158
689	351	157
690	351	157
691	352	156
692	352	156
693	352	155
694	352	154
695	353	154
696	353	153
697	353	153
698	353	152
699	354	151
700	354	151
701	354	150
702	355	150
703	355	149
704	355	148
705	355	148
706	356	147
707	356	146
708	356	146
709	356	145
710	357	145
711	357	144
712	357	143
713	358	143
714	358	142
715	358	142
716	358	141
717	359	141
718	359	140
719	359	139
720	359	139
721	360	138
722	360	138
723	360	137
724	360	136
725	361	136
726	361	135
727	361	135
728	362	134
729	362	134
730	362	133
731	362	132
732	363	132
733	363	131
734	363	131
